"Figure","Major_cell_type","Cell_subtype","Cancer_type","Observed_cell_count","Expected_cell_count","Ro_e","Ro_e_display","Ro_e_symbol","N_samples","N_datasets","Chi_square_statistic","Chi_square_df","Chi_square_p_value"
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","SKCA",1415,2255.6685385971,0.62730847896653,0.63,"+",17,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","STCA",6297,3897.24793323061,1.61575555568519,1.62,"++",72,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","THCA",2700,3636.43473501375,0.742485482828222,0.74,"+",40,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","UECA",423,393.901054503232,1.07387374358128,1.07,"++",6,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","BRCA",213,602.598500979204,0.353469183301786,0.35,"+",38,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","COCA",100,243.4766335625,0.410717030775482,0.41,"+",33,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","HNCA",324,366.078342661347,0.885056454431468,0.89,"+",33,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","KICA",939,455.920480395352,2.05956968457689,2.06,"++",24,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","LICA",550,485.448497657187,1.13297291608553,1.13,"++",38,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","LUCA",2240,1951.46398458584,1.14785618268809,1.15,"++",63,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","OVCA",401,879.278736241311,0.456055609526248,0.46,"+",48,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","PACA",1142,756.208328455768,1.5101658590987,1.51,"++",35,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","PRCA",583,510.659553331034,1.14166081139007,1.14,"++",43,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","SKCA",107,342.421393159175,0.312480476213298,0.31,"+",15,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","STCA",549,591.62108436975,0.927958814356398,0.93,"+",46,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","THCA",645,552.028379519921,1.16841818995055,1.17,"++",35,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD16+ Mono","UECA",4,59.7960850816109,0.0668940114480859,0.07,"±",1,1,89608.6451730528,180,0
