"Feat_pair","cancer_type","Region","median_J_comp","mean_J_comp","n"
"Endothelial-Mural","OVCA","Boundary",0.66355556,0.62165597,24
"Endothelial-Mural","OVCA","Malignant",0.45433644,0.47125467,24
"Endothelial-Mural","OVCA","Normal",0.41635002,0.46730206,24
"Endothelial-Mural","PDAC","Boundary",0.64276316,0.6005336,14
"Endothelial-Mural","PDAC","Malignant",0.24969421,0.34656229,14
"Endothelial-Mural","PDAC","Normal",0.265918,0.2661471,14
"Endothelial-Mural","PRCA","Boundary",0.47138047,0.48494419,8
"Endothelial-Mural","PRCA","Malignant",0.40444796,0.37389181,8
"Endothelial-Mural","PRCA","Normal",0.08001645,0.12458049,8
"Endothelial-Mural","SKCA","Boundary",0.92006803,0.69280979,16
"Endothelial-Mural","SKCA","Malignant",0.53060828,0.48654954,16
"Endothelial-Mural","SKCA","Normal",0.50933202,0.50582665,16
"Endothelial-Mural","STCA","Boundary",0.49618321,0.47029409,11
"Endothelial-Mural","STCA","Malignant",0.46285714,0.39771702,11
"Endothelial-Mural","STCA","Normal",0.28128872,0.32288227,11
"Endothelial-Mural","THCA","Boundary",0.63063063,0.57298026,5
"Endothelial-Mural","THCA","Malignant",0.55060729,0.56419323,5
"Endothelial-Mural","THCA","Normal",0.49270073,0.47821249,5
"Endothelial-Mural","UCEC","Boundary",1,0.85243016,5
"Endothelial-Mural","UCEC","Malignant",0.53,0.4326551,5
"Endothelial-Mural","UCEC","Normal",0.608,0.66183581,5
"Epithelial-B cell","BRCA","Boundary",0.23076923,0.29847952,75
"Epithelial-B cell","BRCA","Malignant",0.09055118,0.19004964,75
"Epithelial-B cell","BRCA","Normal",0.07653061,0.11803674,75
"Epithelial-B cell","COCA","Boundary",0.32765957,0.36536844,27
"Epithelial-B cell","COCA","Malignant",0.24127907,0.28414293,27
"Epithelial-B cell","COCA","Normal",0.06060606,0.14005857,27
"Epithelial-B cell","HNCA","Boundary",0,0.19584586,26
"Epithelial-B cell","HNCA","Malignant",0,0.23118221,26
"Epithelial-B cell","HNCA","Normal",0.03322837,0.06074534,26
"Epithelial-B cell","KICA","Boundary",0.24418605,0.29194182,23
"Epithelial-B cell","KICA","Malignant",0.15322581,0.26285892,23
"Epithelial-B cell","KICA","Normal",0.08756567,0.12206571,23
"Epithelial-B cell","LICA","Boundary",0.27572847,0.2099257,12
"Epithelial-B cell","LICA","Malignant",0.20887208,0.21296261,12
"Epithelial-B cell","LICA","Normal",0.02107491,0.08949592,12
"Epithelial-B cell","LUCA","Boundary",0.31324675,0.29764803,22
