category,sample_id,Malignant,Boundary,Normal
Epi-Epi,V10F24-015_C1,0.345084005888025,0.420814479638009,0.170142246782817
Epi-Epi,V10F24-015_D1,0.0,0.565656565656565,0.16352373177959
Epi-Epi,V11A20-405_C1,0.180001024668903,0.5,0.0744595040960345
Epi-Epi,V11A20-405_D1,0.352829908436429,0.36210407239819,0.0765465690473937
Epi-Epi,V11M22-349_C1,0.263126681340181,0.478269910584321,0.065697052255715
Epi-Epi,V11M22-349_D1,0.545454545454545,0.458052241875771,0.247294871172788
Epi-Epi,V1_Breast_Cancer_Block_A_Section_2_200623,0.597222222222222,0.537453183520599,0.24430925271488
Epi-Epi,V1_Human_Invasive_Ductal_Carcinoma_210511,0.464934393381164,0.4921875,0.236191891044769
Epi-Epi,Visium_FFPE_Human_Breast_Cancer_210609,0.537394334074167,0.601488375964045,0.476024772767777
Epi-Epi,Visium_FFPE_Human_Intestinal_Cancer_220329,0.401304665483769,0.474227606675424,0.271812072395555
Epi-Epi,Visium_FFPE_Human_Ovarian_Cancer_220329,0.673710872523816,0.418336567760517,0.234023151897827
Epi-Epi,Visium_FFPE_Human_Prostate_Acinar_Cell_Carcinoma_211009,0.288018433179723,0.492125496031746,0.0885432467050931
Epi-Epi,Visium_FFPE_Human_Prostate_Cancer_210609,0.284376430205949,0.481686878321297,0.0694680479571644
Epi-Epi,Visium_FFPE_Human_Prostate_IF_220713,0.5,0.0,0.178689698657297
Epi-Epi,Visium_Human_Breast_Cancer_220702,0.473301051484898,0.427127614398805,0.241964191679831
Epi-Epi,WSSKNKCLsp12140270,0.43103448275862,0.0,0.196776871723133
Epi-Epi,WSSKNKCLsp12140271,0.331804281345565,0.503497187576424,0.258426680443682
Epi-Epi,WSSKNKCLsp12140272,0.0,0.488372093023255,0.181626354845677
Epi-Epi,WSSKNKCLsp12140273,0.0,0.906976744186046,0.261492960433958
Epi-Epi,WSSKNKCLsp12887267,0.375,0.0714285714285714,0.217383864860929
Epi-Epi,WSSKNKCLsp12887268,0.0,0.0,0.230092233149298
Epi-Epi,WSSKNKCLsp12887269,0.525773195876288,0.461538461538461,0.20856641355363
Epi-Epi,Zenodo10119273_Tumor2,0.421348314606741,0.654440789473684,0.41897829469631
Epi-Epi,scCRLM_Atlas_ST-colon1,0.305084745762711,0.471969696969697,0.293053294995693
Epi-Epi,scCRLM_Atlas_ST-colon2,0.0,0.712765957446808,0.334071211605896
Epi-Epi,scCRLM_Atlas_ST-colon3,0.572115384615384,0.47457627118644,0.312160237050544
Epi-Epi,scCRLM_Atlas_ST-colon4,0.315434587279247,0.435647058823529,0.206785890965388
Epi-TME,01_034_C1d1,0.0,0.261904761904761,0.298011695906432
Epi-TME,01_034_C3d1,0.382710936047199,0.373134328358209,0.0
