"category","sample_id","Region","value"
"Epi-Epi","GSM5494481_P210325T5","Boundary",0.526315789473684
"Epi-Epi","GSM5494481_P210325T5","Normal",0.192874269577109
"Epi-Epi","GSM5494482_P210325T6","Malignant",0
"Epi-Epi","GSM5494482_P210325T6","Boundary",0
"Epi-Epi","GSM5494482_P210325T6","Normal",0.20078375352303
"Epi-Epi","GSM5924030_ffpe_c_2","Malignant",0.312047101449275
"Epi-Epi","GSM5924030_ffpe_c_2","Boundary",0.769736842105263
"Epi-Epi","GSM5924030_ffpe_c_2","Normal",0.290772915772915
"Epi-Epi","GSM5924031_ffpe_c_3","Malignant",0.367001147729135
"Epi-Epi","GSM5924031_ffpe_c_3","Boundary",0.579784858015406
"Epi-Epi","GSM5924031_ffpe_c_3","Normal",0.360233918128654
"Epi-Epi","GSM5924032_ffpe_c_4","Malignant",0.386630111847387
"Epi-Epi","GSM5924032_ffpe_c_4","Boundary",0.756097560975609
"Epi-Epi","GSM5924032_ffpe_c_4","Normal",0.460862014190405
"Epi-Epi","GSM5924033_ffpe_c_7","Malignant",0.257108636137381
"Epi-Epi","GSM5924033_ffpe_c_7","Boundary",0.51706504519616
"Epi-Epi","GSM5924033_ffpe_c_7","Normal",0.389508698326273
"Epi-Epi","GSM5924034_ffpe_c_10","Malignant",1
"Epi-Epi","GSM5924034_ffpe_c_10","Boundary",1
"Epi-Epi","GSM5924034_ffpe_c_10","Normal",0.314714775990528
"Epi-Epi","GSM5924035_ffpe_c_20","Malignant",0.464037122969837
"Epi-Epi","GSM5924035_ffpe_c_20","Boundary",0.600955414012738
"Epi-Epi","GSM5924035_ffpe_c_20","Normal",0.450345792821427
"Epi-Epi","GSM5924036_ffpe_c_21","Malignant",0.461028450026376
"Epi-Epi","GSM5924036_ffpe_c_21","Boundary",0.722906896426364
"Epi-Epi","GSM5924036_ffpe_c_21","Normal",0.318293547989143
"Epi-Epi","GSM5924037_ffpe_c_34","Malignant",0.442868736767819
