"lr_pair","cancer_type","strength","group_pair","z_score"
"LRPAP1-LRP8","THCA",0.0249671484888305,"T cell-B cell",-0.706552405150017
"LRPAP1-LRP8","UECA",0.0306122448979592,"T cell-B cell",-0.367817829631573
"ADM2-VIPR1","BRCA",0.0170940170940171,"T cell-B cell",-0.0531829751550433
"ADM2-VIPR1","COCA",0.0116959064327485,"T cell-B cell",-0.412574500927179
"ADM2-VIPR1","HNCA",0,"T cell-B cell",-1.19125614010013
"ADM2-VIPR1","KICA",0.0130597014925373,"T cell-B cell",-0.321776735165406
"ADM2-VIPR1","LICA",0.019259289775068,"T cell-B cell",0.0909749907308818
"ADM2-VIPR1","LUCA",0.0194965716347889,"T cell-B cell",0.106772571579861
"ADM2-VIPR1","OVCA",0.00351288056206089,"T cell-B cell",-0.957378106788817
"ADM2-VIPR1","PACA",0.0440283500218531,"T cell-B cell",1.74003165381567
"ADM2-VIPR1","PRCA",0.0151226646537083,"T cell-B cell",-0.184430258846467
"ADM2-VIPR1","SKCA",0.0132456140350877,"T cell-B cell",-0.309399183736761
"ADM2-VIPR1","STCA",0.0264550264550265,"T cell-B cell",0.570047567552984
"ADM2-VIPR1","THCA",0.049636803874092,"T cell-B cell",2.11342725714054
"ADM2-VIPR1","UECA",0,"T cell-B cell",-1.19125614010013
"FGF2-SDC1","BRCA",0.0164835164835165,"T cell-B cell",-0.242669474780237
"FGF2-SDC1","COCA",0.0138648180242634,"T cell-B cell",-0.332863012683644
"FGF2-SDC1","HNCA",0.00220264317180617,"T cell-B cell",-0.734533088852428
"FGF2-SDC1","KICA",0.0246305418719212,"T cell-B cell",0.0379313865265227
"FGF2-SDC1","LICA",0.00465959328028293,"T cell-B cell",-0.64991050775583
"FGF2-SDC1","LUCA",0,"T cell-B cell",-0.810396798819495
"FGF2-SDC1","OVCA",0.0436599974512552,"T cell-B cell",0.69334626142793
"FGF2-SDC1","PACA",0.0180370672419236,"T cell-B cell",-0.189161886413906
"FGF2-SDC1","PRCA",0.0993260188087773,"T cell-B cell",2.6106022897045
"FGF2-SDC1","SKCA",0,"T cell-B cell",-0.810396798819495
"FGF2-SDC1","STCA",0.0206896551724138,"T cell-B cell",-0.0978011231288404
"FGF2-SDC1","THCA",0.00159744408945687,"T cell-B cell",-0.755377430888108
"FGF2-SDC1","UECA",0.0607287449392713,"T cell-B cell",1.28123018448303
"MDK-SDC4","BRCA",0.0222693531283139,"T cell-B cell",-0.132846701480152
"MDK-SDC4","COCA",0.0078740157480315,"T cell-B cell",-0.659643126833886
