cancer_type,lr_pair,sc_lr_score,visium_median_jaccard,x_sc_scaled,y_visium_scaled
STCA,COL4A1-CD93,1.9522762,0.157563025210084,1.0,1.0
STCA,COL4A1-ITGA1,1.8301026,0.0903614457831325,1.0,1.0
STCA,COL4A1-ITGA2,1.36333,0.0715667311411992,0.775485251009476,0.800156949868479
STCA,COL4A1-ITGAV,1.462109,0.109540636042402,0.831672423307793,1.0
STCA,COL4A1-ITGB1,2.2104816,0.114942528735632,1.0,1.0
STCA,COL4A2-CD93,1.9522702,0.151456310679611,1.0,1.0
STCA,COL4A2-ITGB5,1.3406372,0.0901360544217687,0.76257720108458,1.0
STCA,COL4A5-CD93,0.7554989,0.0675105485232067,0.429740601397961,0.754806510356033
STCA,COL4A5-ITGA1,0.37277794,0.0283018867924528,0.212042421403251,0.31643126701836
STCA,COL4A5-ITGA2,0.16655271,0.0506822612085769,0.0947380092278894,0.566656641912021
STCA,COL4A5-ITGAV,0.26533166,0.0635359116022099,0.150925153085357,0.710367798334036
STCA,COL4A5-ITGB1,0.86928415,0.0421836228287841,0.494463583476714,0.4716370084095
STCA,COL5A1-ITGA1,0.8216979,0.0545171339563862,0.467395716543653,0.609532710611691
STCA,COL5A1-ITGB1,1.2798895,0.0522388059701492,0.72802287793263,0.584059701810008
STCA,COL5A1-SDC3,0.53537136,0.0445544554455445,0.304528319257175,0.498144271840785
STCA,COL5A2-ITGA1,1.0362217,0.0893141945773524,0.589420496230528,0.998583732600206
STCA,COL5A2-ITGB1,1.532728,0.0461538461538461,0.871841709497518,0.516026373906864
STCA,COL6A1-ITGA1,1.2675223,0.0964467005076142,0.720988204598746,1.0
STCA,COL6A1-ITGA2,1.0612972,0.0428893905191873,0.60368386636959,0.47952789448832
STCA,COL6A1-ITGA6,1.5653393,0.0467289719626168,0.890391570621564,0.522456609095735
STCA,COL6A1-ITGB1,1.7640285,0.0644490644490644,1.0,0.720577368969045
STCA,COL6A2-ITGA1,1.3894475,0.109090909090909,0.790341328439914,1.0
STCA,COL6A2-ITGA2,1.1832222,0.0532544378698224,0.673036876447363,0.595415046815613
STCA,COL6A2-ITGB1,1.8859537,0.0714285714285714,1.0,0.798612245332053
STCA,COL6A3-ITGA1,1.0029573,0.064039408866995,0.570499140737962,0.715997185470116
STCA,COL6A3-ITGA2,0.79673207,0.0374592833876221,0.4531947285626,0.41881619380606
STCA,COL6A3-ITGB1,1.4994636,0.0735694822888283,0.852920354004953,0.82254885214037
STCA,CSF1-SIRPA,0.1828884,0.065359477124183,0.10403002705194,0.730756302918218
STCA,CXCL12-ACKR3,0.633551,0.0904761904761904,0.360374565411385,1.0
STCA,CXCL12-AVPR1A,0.62538403,0.0626702997275204,0.355729054214216,0.70068976293439
STCA,CXCL12-CD4,0.5878228,0.0496083550913838,0.334363588864833,0.554649757854637
STCA,CXCL12-ITGB1,1.5948604,0.0629770992366412,0.907183673519304,0.70411995676223
STCA,DCN-MET,0.5766238,0.0232558139534883,0.327993407524985,0.260013289177877
STCA,DLL1-NOTCH1,0.21299747,0.0557432432432432,0.121156577268404,0.623241313080081
STCA,DLL1-NOTCH2,0.19975005,0.0809859154929577,0.113621219853891,0.90546881336944
STCA,DLL1-NOTCH3,1.0031669,0.0867992766726944,0.570618364776611,0.9704655133149
STCA,DLL4-NOTCH1,0.3177911,0.0560131795716639,0.180764973228842,0.626259355482796
STCA,DLL4-NOTCH2,0.30454367,0.0608856088560885,0.173229610126159,0.68073589915758
STCA,DLL4-NOTCH3,1.1079605,0.10022271714922,0.63022674367254,1.0
STCA,EDIL3-ITGAV,0.4691584,0.0845070422535211,0.266865263426466,0.944837022646372
STCA,EDIL3-ITGB5,0.32817948,0.0305555555555555,0.18667406014975,0.341628571614266
STCA,EDN1-EDNRA,0.7566571,0.060759493670886,0.430399405222214,0.679325859320429
STCA,EDN1-EDNRB,0.4027094,0.0711743772241993,0.229067944036202,0.795770208871797
STCA,EFEMP2-AQP1,1.2050326,0.0899082568807339,0.685443002270618,1.0
STCA,EFEMP2-PLSCR4,0.5070728,0.0656716417910447,0.288431617868071,0.734246482275439
STCA,EFNA1-EPHA3,0.5976402,0.0377049180327868,0.339947892667478,0.421562529503148
STCA,EFNB1-EPHA4,0.18742165,0.0357723577235772,0.106608616618764,0.399955400914263
STCA,EFNB1-EPHB4,0.28900695,0.0443213296398892,0.164392060003251,0.495537792117396
STCA,EFNB2-EPHA3,0.51268554,0.0353107344632768,0.291624239674788,0.394794189076579
STCA,F8-LRP1,0.24049316,0.0304878048780487,0.136796592570149,0.340871080324656
STCA,FBLN1-ITGB1,0.95631254,0.059880239520958,0.54396680930179,0.669495295487948
STCA,FBN1-ITGA5,0.64009947,0.0812807881773399,0.364099446329195,0.908765658481302
STCA,FBN1-ITGAV,0.5274159,0.0695792880258899,0.300003118539083,0.777936200145462
STCA,FBN1-ITGB1,1.3058773,0.0748299319727891,0.742805179800985,0.836641399871675
STCA,FN1-CD44,0.9148042,0.0676691729323308,0.520356160769236,0.756580021893524
STCA,FN1-COL13A1,0.9575738,0.0309090909090909,0.544684235403825,0.345581298889143
STCA,FN1-FLT4,1.0220664,0.074074074074074,0.581368721257767,0.828190476640647
STCA,FN1-IL17RC,0.32595775,0.0496323529411764,0.185410302404578,0.554918067528521
STCA,FN1-ITGA2,0.96498704,0.029673590504451,0.54890101217995,0.331767698357529
STCA,FN1-ITGA3,0.9299773,0.0288888888888888,0.528986877662499,0.322994285889851
STCA,FN1-ITGA4,0.46835908,0.0345528455284552,0.266410596639381,0.386320557701277
STCA,FN1-ITGA5,1.2955337,0.106109324758842,0.736921564504364,1.0
STCA,FN1-ITGA6,1.4690292,0.0246478873239436,0.835608750560942,0.275577464938524
STCA,FN1-ITGA8,0.934029,0.0506993006993006,0.531291553413428,0.566847153155267
STCA,FN1-ITGA9,0.94619757,0.0513552068473609,0.538213242630915,0.574180558698081
STCA,FN1-ITGAV,1.063766,0.08130081300813,0.605088161725588,0.908989547532417
STCA,FN1-ITGB1,1.6677184,0.0694980694980695,0.948626540923416,0.777028130593349
STCA,FN1-NT5E,0.9773217,0.05,0.55591717620936,0.559028571732437
STCA,FN1-PLAUR,0.97356427,0.055,0.553779886230631,0.614931428905681
STCA,FN1-ROBO4,1.27403,0.105691056910569,0.724689894848351,1.0
STCA,FN1-SDC2,0.714583,0.043360433604336,0.406466942796024,0.484794425350622
STCA,FYN-THY1,1.3527498,0.0648464163822525,0.769467053615792,0.725019990642751
STCA,GAS6-AXL,0.6642164,0.0573529411764705,0.37781756557738,0.641238655810736
STCA,GDF11-BMPR2,0.5065985,0.0564263322884012,0.288161827975269,0.630878638945697
STCA,GNAI2-CAV1,1.7194353,0.0856031128404669,0.978043991707843,0.957091718141137
STCA,GNAI2-EDNRA,1.1746199,0.0678466076696165,0.668143742155036,0.758563843648735
STCA,GNAI2-EDNRB,0.8206723,0.0764331210191082,0.466812337850721,0.854565969527292
STCA,GNAI2-EGFR,0.7141676,0.0525210084033613,0.406230656223243,0.587214886273568
STCA,GNAI2-F2R,0.99410784,0.0985507246376811,0.565465417641281,1.0
STCA,GNAI2-IGF1R,0.74720085,0.0362438220757825,0.425020529671278,0.405226641782985
STCA,GNAI2-S1PR1,0.7811604,0.092,0.444337298286301,1.0
STCA,GNAI2-S1PR3,0.8193125,0.0653950953678474,0.466038860523645,0.731154535235885
STCA,GNAI2-TBXA2R,0.36159226,0.0529595015576324,0.205679816705554,0.5921174903085
STCA,GNAI2-UNC5B,0.7282141,0.0629921259842519,0.414220543908767,0.704287964387322
STCA,GRN-SORT1,0.7648938,0.0462184873949579,0.43508458002728,0.516749099920739
STCA,GRN-TNFRSF1A,0.9314229,0.0596393897364771,0.529809159486312,0.666802457267539
STCA,GRN-TNFRSF1B,0.5722985,0.0601336302895322,0.325533103448795,0.672328349076872
STCA,HBEGF-CD44,0.74036956,0.0533807829181494,0.421134775935668,0.596827656653847
STCA,HBEGF-CD9,0.8072598,0.0466321243523316,0.459183080129432,0.521373797470667
STCA,HBEGF-EGFR,0.34850436,0.033434650455927,0.198235196975418,0.373818497815003
