"lr_pair","cancer_type","strength","group_pair","z_score"
"TIMP2-CD44","KICA",0.00671779,"Endothelial-Mural",-0.4098063
"TIMP3-CD44","KICA",0.01840261,"Endothelial-Mural",-0.2399078
"ADAM10-CD44","LICA",0.00136711,"Endothelial-Mural",-0.523172
"APP-CAV1","LICA",0.09875908,"Endothelial-Mural",0.0898674
"APP-CD74","LICA",0.06261306,"Endothelial-Mural",0.21370754
"BGN-LY96","LICA",0.02142681,"Endothelial-Mural",0.07971378
"COL18A1-ITGB1","LICA",0.07091585,"Endothelial-Mural",-0.117768
"COL18A1-KDR","LICA",0.01638798,"Endothelial-Mural",-0.3518235
"COL1A1-ITGA5","LICA",0.00354693,"Endothelial-Mural",-1.0000192
"COL1A2-ITGA1","LICA",0.00837539,"Endothelial-Mural",-0.6350254
"COL4A1-CD47","LICA",0.00773739,"Endothelial-Mural",-0.4212759
"COL4A1-ITGA1","LICA",0.02611896,"Endothelial-Mural",-0.2037514
"COL4A1-ITGAV","LICA",0.00530743,"Endothelial-Mural",-0.8458741
"COL5A2-ITGB1","LICA",0.01373288,"Endothelial-Mural",-0.7306152
"COL6A1-ITGA1","LICA",0.00634971,"Endothelial-Mural",-0.5342776
"COL6A2-ITGA1","LICA",0.00874792,"Endothelial-Mural",-0.7714631
"COL6A2-ITGB1","LICA",0.06410382,"Endothelial-Mural",-0.6840179
"COL6A3-ITGA1","LICA",0.00199753,"Endothelial-Mural",-0.504136
"COL6A3-ITGB1","LICA",0.01529686,"Endothelial-Mural",-0.5182598
"EFEMP2-AQP1","LICA",0.00472868,"Endothelial-Mural",-0.5472575
"FYN-THY1","LICA",0.00594713,"Endothelial-Mural",-0.2779966
"GNAI2-EDNRA","LICA",0.00850022,"Endothelial-Mural",-0.7502647
"GNAI2-F2R","LICA",0.00211623,"Endothelial-Mural",-0.5854447
"GNAI2-S1PR1","LICA",0.00402829,"Endothelial-Mural",-0.3845413
"GNAI2-S1PR3","LICA",0.00604091,"Endothelial-Mural",-0.6562238
"HBEGF-CD44","LICA",0.00112183,"Endothelial-Mural",-0.6106677
"ICAM1-CAV1","LICA",0.01970854,"Endothelial-Mural",-0.4724006
"LAMA4-ITGA6","LICA",0.00224481,"Endothelial-Mural",-0.8268079
"LAMA4-ITGAV","LICA",0.00108138,"Endothelial-Mural",-0.8195192
"LAMC1-ITGA1","LICA",0.00185208,"Endothelial-Mural",-0.7625856
"LAMC1-ITGAV","LICA",0.00036902,"Endothelial-Mural",-1.0130364
"LUM-ITGB1","LICA",0.00093908,"Endothelial-Mural",-0.8099197
"PGF-NRP1","LICA",0.02354386,"Endothelial-Mural",1.17705015
"PGF-NRP2","LICA",0.00932102,"Endothelial-Mural",0.64045735
"THBS1-ITGA6","LICA",0.0018942,"Endothelial-Mural",-0.6081031
"THBS1-ITGB1","LICA",0.0103689,"Endothelial-Mural",-0.6289853
"TIMP1-CD63","LICA",0.15968946,"Endothelial-Mural",0.59531497
"TIMP2-CD44","LICA",0.00502357,"Endothelial-Mural",-0.5449237
"TIMP3-CD44","LICA",0.01300616,"Endothelial-Mural",-0.4758539
