"cell_pair","cancer_type","row_order","col_order","value","raw_J_comp_agg","mask","n_cancer_topk","top_k","agg","value_type","fill_label","fill_min","fill_mid","fill_max"
"B cell-Endothelial","BRCA",10,2,-0.2828651,0.2322335,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","KICA",10,3,-0.7013389,0.07942708,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","COCA",10,4,0.02049904,0.32361734,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","PACA",10,5,0.07309013,0.19654825,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","STCA",10,6,-0.6840232,0.16294458,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","UECA",10,7,-0.6213905,0.36533958,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","HNCA",10,8,-0.8842527,0.16686233,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","SKCA",10,9,-0.2542685,0.27203099,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","THCA",10,10,0.80842242,0.39282931,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","PRCA",10,11,0.4435125,0.4115222,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","OVCA",10,12,-0.8415177,0.07584007,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
