sample_id,Malignant,Boundary,Normal
GSM6177614_NYU_OVCA1_Vis,0.627118644067796,0.451234693187199,0.382551481494256
GSM6177617_NYU_OVCA3_Vis,0.522727272727272,0.44578313253012,0.486485551881389
GSM6177618_NYU_PDAC1_Vis,0.62,0.366786140979689,0.356445182090463
GSM6177623_NYU_UCEC3_Vis,0.567618370249949,0.341176470588235,0.344505412227784
GSM6339631_s1,1.0,1.0,0.274954083486388
GSM6339632_s2,0.493150684931506,0.520710059171597,0.209182302859976
GSM6339633_s3,0.368290128305839,0.8125,0.464285714285714
GSM6339634_s4,0.0,0.0,0.150236719180018
GSM6339635_s5,0.63076923076923,0.620967741935483,0.147368421052631
GSM6339636_s6,0.636363636363636,0.0,0.263996658312447
GSM6339640_s10,0.733333333333333,0.384615384615384,0.415851375426518
GSM6339641_s11,0.0,0.569767441860465,0.285031083177007
GSM6339642_s12,0.328767123287671,0.315217391304347,0.258406029729918
GSM6433585_092A,0.394745314476256,1.0,0.347064408286115
GSM6433586_092B,0.0,0.0,0.309399386028636
GSM6433587_093A,0.523567280989649,0.0,0.244403806170609
GSM6433588_093B,0.304924553058881,0.0,0.475
GSM6433589_093C,0.354016897039167,0.529494614747307,0.366222319347319
GSM6433590_093D,0.797685928303905,0.709677419354838,0.149608689962046
GSM6433592_094B,0.39647577092511,0.440677966101694,0.357301411863724
GSM6433593_094C,0.466789215686274,0.533783783783783,0.210767598696673
GSM6433594_094D,1.0,0.609756097560975,0.15129790788719
GSM6433595_095A,0.419876543209876,0.0,0.270456692352022
GSM6433596_095B,0.432692307692307,0.391752577319587,0.198765502548885
GSM6433597_117B,0.657142857142857,0.459459459459459,0.370464373002444
GSM6433598_117C,0.480066225165562,0.446927374301675,0.329721180880974
GSM6433599_117D,0.316585619362262,0.479638009049773,0.443092059340029
GSM6433600_117E,0.330356608926186,0.878048780487804,0.388349514563106
GSM6433601_118B,0.657534246575342,0.0,0.276895530939648
GSM6433602_118C,0.0,0.0,0.202615882753919
GSM6433603_118D,0.0,0.540983606557377,0.207289470095154
GSM6433604_118E,0.792207792207792,0.434343434343434,0.247860747458494
GSM6433605_119B,0.0,0.0,0.303324737520722
GSM6433606_119C,0.0,0.318181818181818,0.315523383430689
GSM6433607_119D,0.375709475709475,0.0,0.279556446359945
GSM6433608_119E,0.370444149328611,0.464646464646464,0.305943999897412
GSM6433609_120B,0.287263430116374,0.483040122165509,0.378043959719638
GSM6433610_120C,0.257530393757938,0.340425531914893,0.231726674409601
GSM6433611_120D,0.527027027027027,0.405467679661228,0.405492402273518
GSM6433613_395A,0.469723929688342,0.425531914893617,0.18075789632764
GSM6433614_395B,0.0,0.0,0.298521130610682
GSM6433615_395C,0.678787878787878,0.490586838534599,0.11593991416309
GSM6433616_395D,0.607549857549857,0.383561643835616,0.259443489259105
GSM6433617_396A,0.0,0.0,0.370156283451081
GSM6433618_396C,0.292307692307692,0.0,0.128765196878969
GSM6433619_396D,0.454166666666666,1.0,0.129219736978357
GSM6433620_397A,0.74,0.666666666666666,0.310066692650816
GSM6433621_397B,0.196965342835795,0.0,0.365055019962995
GSM6433622_397C,0.303388179636135,0.394285714285714,0.306287030941408
GSM6433623_397D,0.0,0.0,0.146056402991467
GSM6433624_398A,0.34375,0.532258064516129,0.308302005012531
GSM6433625_398B,0.0,1.0,0.415735105369933
GSM6433627_398D,0.0,0.45705359831376,0.225806451612903
GSM6505133_DonorA,0.0,0.429306150510339,0.239179606813929
GSM6505134_DonorB,0.38341968911917,0.5,0.247873397146469
GSM6505135_DonorC,0.388624882694726,0.468690489526156,0.179047312695591
GSM6506110_SP1,0.260231030188517,0.359861591695501,0.391776060869361
GSM6506111_SP2,0.0,0.0,0.129384639046225
GSM6506112_SP3,0.903846153846154,0.0,0.243481435127242
GSM6506113_SP4,0.637305699481865,0.514705882352941,0.201188266037852
GSM6506114_SP5,0.0,0.0,0.129345199367971
GSM6506115_SP6,0.942857142857142,0.484536082474226,0.13907107576235
GSM6506116_SP7,0.53613775185871,0.538770207248468,0.272287686183581
GSM6506117_SP8,0.40531708178767,0.466666666666666,0.25546309224948
GSM6833484_Patient1,0.301343867569601,0.421628783619269,0.233083074629906
GSM6833485_Patient2,0.405882352941176,0.4,0.135765873515628
GSM6833486_Patient3,0.0,1.0,0.246186541820005
GSM6833487_Patient4,0.393250327169484,0.448915683183503,0.158018085621224
GSM7019835_OCCR2v,0.433526011560693,0.528750826173165,0.330058432788511
GSM7019836_OCCS3v,0.734042553191489,0.460869565217391,0.378048780487804
GSM7058756,0.510917030567685,0.618141008112296,0.353682320703014
GSM7058757,0.453703703703703,0.714285714285714,0.304750167112299
GSM7058758,0.0,0.9375,0.372463203590467
GSM7058759,0.520361990950226,0.442303426860374,0.160916495302608
GSM7090086_NextSeq2000,0.4,0.505421749556876,0.479517794578646
GSM7090087_NextSeq2000,0.394957983193277,0.584269662921348,0.203524240465416
GSM7090088_NextSeq2000,0.393939393939393,0.181818181818181,0.0717458684370591
GSM7211257_EHU-W3,0.293232178541744,0.430922299089501,0.123762587472264
GSM7421790_PDAC_1,1.0,0.0,0.193649174188592
GSM7421791_PDAC_2,0.464788732394366,0.0,0.191848599905078
GSM7421792_PDAC_3,0.611111111111111,0.0,0.223241590214067
GSM7498811_SS1905133,0.731543624161073,0.51225519644359,0.220715891999194
GSM7498812_SS1923404,0.302325581395348,0.0,0.242480777928539
GSM7498813_SS1945070,0.0,0.0,0.235508757770452
GSM7498814_SS1960050,0.0,0.463414634146341,0.118289882308687
GSM7498815_SS2002154,0.254098536889519,0.387978142076502,0.23127858243844
GSM7498816_SS2005094,0.0207734330074755,0.507042253521126,0.124846016949266
GSM7498817_SS2021309,0.458333333333333,0.0,0.180657542525912
GSM7757970_R1-S1,0.305084745762711,0.0,0.1524570468366
GSM7757973_R1-S4,0.289081013033175,0.538461538461538,0.294700207595554
GSM7757974_R1-S5,0.350238100022102,0.702702702702702,0.297727994600389
GSM7757975_R1-S6,0.255111103371412,0.446601941747572,0.0938156246631654
GSM7757976_R2-S1,0.22,0.367441860465116,0.162613223849784
GSM7757977_R2-S2,0.327380952380952,0.340794150623822,0.212766457385616
