anchor,partner,sample_id,Malignant,Boundary,Normal
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6177614_NYU_OVCA1_Vis,0.616666666666666,0.979411764705882,0.851282051282051
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6177617_NYU_OVCA3_Vis,0.949367088607594,0.478260869565217,0.59079283887468
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6177618_NYU_PDAC1_Vis,0.81578947368421,0.39938080495356,0.631884057971014
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6177623_NYU_UCEC3_Vis,0.324041811846689,1.0,0.668965517241379
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339631_s1,0.0,0.0,0.479166666666666
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339632_s2,0.350684931506849,0.626016260162601,0.350210970464135
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339633_s3,0.697297297297297,0.702702702702702,0.437751004016064
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339634_s4,1.0,0.0,0.519067796610169
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339635_s5,1.0,0.626760563380281,0.262156448202959
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339636_s6,0.0,0.0,0.18066561014263
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339637_s7,,,0.440408626560726
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339638_s8,,0.0,0.544021024967148
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339639_s9,,0.0,0.329556185080264
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339640_s10,1.0,0.0,0.431989924433249
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339641_s11,0.0,1.0,0.272394881170018
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6339642_s12,0.960629921259842,0.745762711864406,0.287610619469026
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433585_092A,0.766949152542372,1.0,0.515366430260047
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433586_092B,0.234042553191489,0.0,0.835025380710659
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433587_093A,0.947368421052631,1.0,0.647058823529411
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433588_093B,0.882770870337477,1.0,1.0
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433589_093C,0.75,0.608333333333333,0.586885245901639
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433590_093D,1.0,1.0,0.776349614395886
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433591_094A,,1.0,0.575757575757575
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433592_094B,0.668367346938775,0.809523809523809,0.796019900497512
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433593_094C,0.914634146341463,0.585034013605442,0.79957805907173
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433594_094D,1.0,1.0,0.538461538461538
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433595_095A,0.876712328767123,0.0,0.744985673352435
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433596_095B,1.0,1.0,0.831967213114754
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433597_117B,1.0,1.0,0.839009287925696
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433598_117C,0.670103092783505,1.0,0.684931506849315
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM6433599_117D,0.36,1.0,0.844919786096256
