panel,global_anno,gene,celltype,median_pearson_r,row_zscore,is_designated
b,B cell,HCK,Cycling Bgc,0.0583068175428027,-2.180040310071345,False
b,B cell,HCK,Plasmablast,0.07221267262308015,-0.3236826589209441,False
b,B cell,MZB1,Bn,0.1776765274320905,-0.29350341403417834,False
b,B cell,MZB1,NR4A2+ Bn,0.193342647773071,-0.023561270048135532,False
b,B cell,MZB1,Bgc,0.1745889830244795,-0.34670473886138603,False
b,B cell,MZB1,Bmem,0.178125708169879,-0.28576360297970327,False
b,B cell,MZB1,ABC,0.156413905923478,-0.6598785925641407,False
b,B cell,MZB1,Plasma,0.2981169782342445,1.7818000308865136,True
b,B cell,MZB1,Cycling Bgc,0.106752799054015,-1.5155866663745723,False
b,B cell,MZB1,Plasmablast,0.272662678592876,1.3431982539756058,False
b,B cell,TOP2A,Bn,-0.04715611393116955,-0.3399617729200668,False
b,B cell,TOP2A,NR4A2+ Bn,-0.05956377994436435,-0.836054759499074,False
b,B cell,TOP2A,Bgc,-0.04947095745952025,-0.4325156535791171,False
b,B cell,TOP2A,Bmem,-0.0477615337466145,-0.3641681405043327,False
b,B cell,TOP2A,ABC,-0.034795955879913104,0.15423171324530796,False
b,B cell,TOP2A,Plasma,-0.0676170433887459,-1.1580466240110758,False
b,B cell,TOP2A,Cycling Bgc,0.0168719926216564,2.2200599564697607,True
b,B cell,TOP2A,Plasmablast,-0.0197338826524661,0.7564552807985991,False
b,B cell,SDC1,Bn,-0.09121509523202564,-0.46276057369305224,False
b,B cell,SDC1,NR4A2+ Bn,-0.1031884252799905,-1.031236359477647,False
b,B cell,SDC1,Bgc,-0.09391658838352665,-0.591023424206579,False
b,B cell,SDC1,Bmem,-0.09438968966523545,-0.6134855647971846,False
b,B cell,SDC1,ABC,-0.09407985222145049,-0.5987749468140877,False
b,B cell,SDC1,Plasma,-0.0661263820404247,0.7284139691271289,False
b,B cell,SDC1,Cycling Bgc,-0.07444149556697985,0.3336248271791039,False
b,B cell,SDC1,Plasmablast,-0.03438932188664085,2.235242072682316,True
c,Myeloid,S100A12,CD14+Mono,0.0144907450926272,2.4457629882667753,True
c,Myeloid,S100A12,CD16+Mono,0.0090361525641691,1.0763396403070045,False
c,Myeloid,S100A12,Macro,0.0040738734999906,-0.1694840897194322,False
c,Myeloid,S100A12,CXCL3+ Macro,0.0067874965883607,0.5117948134046441,False
c,Myeloid,S100A12,FOLR2+ Macro,0.0007596379802224,-1.0015520173838888,False
c,Myeloid,S100A12,HSPA6+ Macro,0.0083206088207489,0.8966961007366615,False
c,Myeloid,S100A12,SPP1+ Macro,0.0013562381556306,-0.8517703049391221,False
c,Myeloid,S100A12,SPP1+ CXCL3+ Macro,0.0059699254552998,0.3065364018202302,False
c,Myeloid,S100A12,SPP1+ MT1+ Macro,0.0045151755432105,-0.058691336945557386,False
c,Myeloid,S100A12,SPP1+ cycMacro,0.0007877496565601,-0.9944943342065872,False
c,Myeloid,S100A12,TNFSF10+ Macro,0.0036818174870676,-0.26791319418574544,False
c,Myeloid,S100A12,LAMP3+ cDC,0.0018046172138386,-0.7392008054132209,False
c,Myeloid,S100A12,Mast,0.0001523226571167,-1.1540238617417613,False
c,Myeloid,LILRB2,CD14+Mono,0.107891198667697,-0.5870977693968802,False
c,Myeloid,LILRB2,CD16+Mono,0.13139643135386903,0.8457511080121657,True
c,Myeloid,LILRB2,Macro,0.1345470342210215,1.037807823282076,False
c,Myeloid,LILRB2,CXCL3+ Macro,0.1229474907607265,0.3307145114460786,False
c,Myeloid,LILRB2,FOLR2+ Macro,0.1340166930404,1.0054789042093317,False
c,Myeloid,LILRB2,HSPA6+ Macro,0.1138515971049335,-0.22375951515661538,False
c,Myeloid,LILRB2,SPP1+ Macro,0.11459833561959801,-0.1782392917773938,False
c,Myeloid,LILRB2,SPP1+ CXCL3+ Macro,0.1114220533299925,-0.37186139174804794,False
c,Myeloid,LILRB2,SPP1+ MT1+ Macro,0.1237067728935515,0.3769993777216239,False
c,Myeloid,LILRB2,SPP1+ cycMacro,0.1081084761349745,-0.5738528132957652,False
c,Myeloid,LILRB2,TNFSF10+ Macro,0.14527751338025302,1.691924088483363,False
c,Myeloid,LILRB2,LAMP3+ cDC,0.09872630068242755,-1.1457782115389052,False
c,Myeloid,LILRB2,Mast,0.08129961219786175,-2.208086820241036,False
c,Myeloid,C1QC,CD14+Mono,0.21411355041133,-0.9640317436455784,False
c,Myeloid,C1QC,CD16+Mono,0.2200562102693665,-0.8453320708039519,False
c,Myeloid,C1QC,Macro,0.29771070206031147,0.7057516173870644,True
c,Myeloid,C1QC,CXCL3+ Macro,0.246558787169687,-0.3159652077024338,False
c,Myeloid,C1QC,FOLR2+ Macro,0.3290447688881975,1.331623460992234,False
c,Myeloid,C1QC,HSPA6+ Macro,0.25437281949962953,-0.15988643097693314,False
c,Myeloid,C1QC,SPP1+ Macro,0.294613405458367,0.64388570176561,False
c,Myeloid,C1QC,SPP1+ CXCL3+ Macro,0.26095902462804,-0.028332478254410688,False
c,Myeloid,C1QC,SPP1+ MT1+ Macro,0.30989191627623147,0.9490612088468748,False
c,Myeloid,C1QC,SPP1+ cycMacro,0.26983484650801903,0.14895465890678763,False
c,Myeloid,C1QC,TNFSF10+ Macro,0.3451230756065145,1.6527742239339542,False
c,Myeloid,C1QC,LAMP3+ cDC,0.1901163154174645,-1.4433564923140354,False
c,Myeloid,C1QC,Mast,0.17851182794939752,-1.6751464481351694,False
c,Myeloid,CXCL3,CD14+Mono,0.0034231898257828,-0.4289110916492197,False
c,Myeloid,CXCL3,CD16+Mono,0.0027844029295075,-0.5542405464836655,False
c,Myeloid,CXCL3,Macro,0.0053752728241743,-0.045914039883527144,False
c,Myeloid,CXCL3,CXCL3+ Macro,0.0055554547141982,-0.010562503746187285,True
c,Myeloid,CXCL3,FOLR2+ Macro,0.0025592740806541,-0.5984106383544026,False
c,Myeloid,CXCL3,HSPA6+ Macro,0.0085454948983393,0.5760808798243909,False
c,Myeloid,CXCL3,SPP1+ Macro,0.0065707860170731,0.18864464876061224,False
c,Myeloid,CXCL3,SPP1+ CXCL3+ Macro,0.0141486929904582,1.675423659567355,False
c,Myeloid,CXCL3,SPP1+ MT1+ Macro,0.0104853237286534,0.9566736740614061,False
c,Myeloid,CXCL3,SPP1+ cycMacro,0.0045919884828286,-0.19959377259818598,False
c,Myeloid,CXCL3,TNFSF10+ Macro,0.0108820640261195,1.0345137886320295,False
c,Myeloid,CXCL3,LAMP3+ cDC,0.0058234122578928,0.042010542234937595,False
c,Myeloid,CXCL3,Mast,-0.0078245824228435,-2.6357146003655445,False
c,Myeloid,FOLR2,CD14+Mono,0.152500024922199,0.08592488574976222,False
c,Myeloid,FOLR2,CD16+Mono,0.1637766710687265,0.46666227596811244,False
c,Myeloid,FOLR2,Macro,0.179722980808981,1.0050631688601486,False
c,Myeloid,FOLR2,CXCL3+ Macro,0.171413785104528,0.7245168569320094,False
c,Myeloid,FOLR2,FOLR2+ Macro,0.22402144626808002,2.5007279179725224,True
c,Myeloid,FOLR2,HSPA6+ Macro,0.1348263047008405,-0.5107991778674535,False
c,Myeloid,FOLR2,SPP1+ Macro,0.121621024307647,-0.9566537279416587,False
c,Myeloid,FOLR2,SPP1+ CXCL3+ Macro,0.1151427628174285,-1.1753815607465714,False
c,Myeloid,FOLR2,SPP1+ MT1+ Macro,0.148896471499248,-0.03574316235062559,False
c,Myeloid,FOLR2,SPP1+ cycMacro,0.12743755723508948,-0.7602680705274196,False
c,Myeloid,FOLR2,TNFSF10+ Macro,0.1517755931300665,0.06146563906029654,False
c,Myeloid,FOLR2,LAMP3+ cDC,0.109745089887817,-1.3576250999841093,False
c,Myeloid,FOLR2,Mast,0.14853670916782352,-0.04788994512500634,False
c,Myeloid,HSPA6,CD14+Mono,0.0362565014150577,-0.7155354450844735,False
c,Myeloid,HSPA6,CD16+Mono,0.03654796768547321,-0.691527649460078,False
c,Myeloid,HSPA6,Macro,0.0492032696418299,0.3508773687950319,False
c,Myeloid,HSPA6,CXCL3+ Macro,0.0414928245551437,-0.2842245575801823,False
c,Myeloid,HSPA6,FOLR2+ Macro,0.04660059882179865,0.13649788318315564,False
c,Myeloid,HSPA6,HSPA6+ Macro,0.06689567094026555,1.8081834024301195,True
c,Myeloid,HSPA6,SPP1+ Macro,0.04668255008412525,0.14324812963291983,False
c,Myeloid,HSPA6,SPP1+ CXCL3+ Macro,0.058155814481340495,1.0882898540160757,False
c,Myeloid,HSPA6,SPP1+ MT1+ Macro,0.0562048835827965,0.9275935572446099,False
c,Myeloid,HSPA6,SPP1+ cycMacro,0.0369411676502827,-0.6591401475333246,False
c,Myeloid,HSPA6,TNFSF10+ Macro,0.0571458721348781,1.0051018768558833,False
c,Myeloid,HSPA6,LAMP3+ cDC,0.02964615726550905,-1.2600231181282349,False
c,Myeloid,HSPA6,Mast,0.02249155078685865,-1.8493411543715017,False
c,Myeloid,SPP1,CD14+Mono,-0.02166570968096555,-0.9737232743828479,False
c,Myeloid,SPP1,CD16+Mono,-0.0289542299857639,-1.1018369747467076,False
c,Myeloid,SPP1,Macro,0.0141539378208086,-0.3441047242142719,False
c,Myeloid,SPP1,CXCL3+ Macro,-0.013849518454759,-0.8363344576045487,False
c,Myeloid,SPP1,FOLR2+ Macro,-0.00247495138338285,-0.6363984189285578,False
c,Myeloid,SPP1,HSPA6+ Macro,0.055632435678665146,0.38498206211271574,False
c,Myeloid,SPP1,SPP1+ Macro,0.15522335161690548,2.135537762022651,True
c,Myeloid,SPP1,SPP1+ CXCL3+ Macro,0.102129286582405,1.202278766441454,True
c,Myeloid,SPP1,SPP1+ MT1+ Macro,0.09877851656767166,1.1433807284716426,False
c,Myeloid,SPP1,SPP1+ cycMacro,0.04581108635528375,0.21234765186676782,False
c,Myeloid,SPP1,TNFSF10+ Macro,0.06744937748801196,0.5926939266434557,False
c,Myeloid,SPP1,LAMP3+ cDC,-4.33154358832614e-05,-0.593656426570128,False
c,Myeloid,SPP1,Mast,-0.0336949393540626,-1.1851666211116243,False
c,Myeloid,MT1F,CD14+Mono,-0.0291464017998687,-1.3991127640308865,False
c,Myeloid,MT1F,CD16+Mono,-0.01748216167485275,-0.3668059065314492,False
c,Myeloid,MT1F,Macro,-0.0149557129252982,-0.14321051228947124,False
c,Myeloid,MT1F,CXCL3+ Macro,-0.03183659411684985,-1.6371997673030474,False
c,Myeloid,MT1F,FOLR2+ Macro,-0.02042581133098725,-0.6273243538143021,False
c,Myeloid,MT1F,HSPA6+ Macro,-0.015557164660429598,-0.19644010495702002,False
c,Myeloid,MT1F,SPP1+ Macro,-0.00197945588731075,1.0052122723427563,False
c,Myeloid,MT1F,SPP1+ CXCL3+ Macro,-0.0116655911198465,0.1479713620009961,False
c,Myeloid,MT1F,SPP1+ MT1+ Macro,0.0060314366806444,1.7141911037074844,True
c,Myeloid,MT1F,SPP1+ cycMacro,-0.00493382096881035,0.7437454900662084,False
c,Myeloid,MT1F,TNFSF10+ Macro,-0.00078906168930995,1.1105643639109235,False
c,Myeloid,MT1F,LAMP3+ cDC,-0.00415035937264425,0.8130832925841083,False
c,Myeloid,MT1F,Mast,-0.0264974370372274,-1.1646744756863001,False
c,Myeloid,MKI67,CD14+Mono,-0.0423892225006925,-0.6692036622365686,False
c,Myeloid,MKI67,CD16+Mono,-0.045875833832288,-0.8740096533047169,False
c,Myeloid,MKI67,Macro,-0.031980394658556996,-0.05778182615517963,False
c,Myeloid,MKI67,CXCL3+ Macro,-0.04352749461216985,-0.7360665631236809,False
c,Myeloid,MKI67,FOLR2+ Macro,-0.04911662989172555,-1.0643762831576427,False
c,Myeloid,MKI67,HSPA6+ Macro,-0.032331944152910255,-0.07843208962104699,False
c,Myeloid,MKI67,SPP1+ Macro,-0.015399261811136301,0.9162055280058665,False
c,Myeloid,MKI67,SPP1+ CXCL3+ Macro,-0.0317611618629702,-0.04490393822774948,False
c,Myeloid,MKI67,SPP1+ MT1+ Macro,-0.0296314576933961,0.08019637598822975,False
c,Myeloid,MKI67,SPP1+ cycMacro,0.007056727635096899,2.2352860725663284,True
c,Myeloid,MKI67,TNFSF10+ Macro,-0.01440683785017945,0.974501206403302,False
c,Myeloid,MKI67,LAMP3+ cDC,-0.0156779516434865,0.8998350921050059,False
c,Myeloid,MKI67,Mast,-0.057915877670680446,-1.5812502592421487,False
c,Myeloid,TNFSF10,CD14+Mono,-0.00987640700454975,0.15225136144492793,False
c,Myeloid,TNFSF10,CD16+Mono,-0.02235637245209205,-0.5349689770196465,False
c,Myeloid,TNFSF10,Macro,-0.030133333117517147,-0.963214196382142,False
c,Myeloid,TNFSF10,CXCL3+ Macro,-0.031055243828545354,-1.013980025304504,False
c,Myeloid,TNFSF10,FOLR2+ Macro,-0.03459198990020735,-1.208734076719723,False
c,Myeloid,TNFSF10,HSPA6+ Macro,0.0052261654699932505,0.9838878760864904,False
c,Myeloid,TNFSF10,SPP1+ Macro,-0.00419998714091165,0.46482844319675515,False
c,Myeloid,TNFSF10,SPP1+ CXCL3+ Macro,-0.0018075325571175502,0.5965710714714101,False
c,Myeloid,TNFSF10,SPP1+ MT1+ Macro,-0.00175773144894555,0.599313413552222,False
c,Myeloid,TNFSF10,SPP1+ cycMacro,-0.00317244688071735,0.5214108566950045,False
c,Myeloid,TNFSF10,TNFSF10+ Macro,0.0134021716627486,1.4341068904492498,True
c,Myeloid,TNFSF10,LAMP3+ cDC,0.0052752653204119,0.9865916027887073,False
c,Myeloid,TNFSF10,Mast,-0.0492894776072617,-2.0180642402587496,False
c,Myeloid,LAMP3,CD14+Mono,0.0399296226823379,-0.3129695107893341,False
c,Myeloid,LAMP3,CD16+Mono,0.0649245700828769,0.48547437937657806,False
c,Myeloid,LAMP3,Macro,0.0413542059266879,-0.267462322106094,False
c,Myeloid,LAMP3,CXCL3+ Macro,0.041172819981546,-0.2732565531296567,False
c,Myeloid,LAMP3,FOLR2+ Macro,0.0363407896562854,-0.4276119525820089,False
c,Myeloid,LAMP3,HSPA6+ Macro,0.0349372241305177,-0.4724477468142689,False
c,Myeloid,LAMP3,SPP1+ Macro,0.0347324648758361,-0.4789886197849365,False
c,Myeloid,LAMP3,SPP1+ CXCL3+ Macro,0.0328144674818909,-0.5402575344983422,False
c,Myeloid,LAMP3,SPP1+ MT1+ Macro,0.0357777695292497,-0.4455971866882585,False
c,Myeloid,LAMP3,SPP1+ cycMacro,0.0329182753840202,-0.5369414729008575,False
c,Myeloid,LAMP3,TNFSF10+ Macro,0.0795658757346609,0.9531793460798277,False
c,Myeloid,LAMP3,LAMP3+ cDC,0.146666697954427,3.0966622135543154,True
c,Myeloid,LAMP3,Mast,0.0253162231121044,-0.779783039716964,False
c,Myeloid,KIT,CD14+Mono,0.0246361355017359,0.13272174760584782,False
c,Myeloid,KIT,CD16+Mono,0.03132825326878435,0.5658333644307848,False
c,Myeloid,KIT,Macro,0.026391800735903248,0.2463478125740567,False
c,Myeloid,KIT,CXCL3+ Macro,0.027483701117396148,0.3170152389556958,False
c,Myeloid,KIT,FOLR2+ Macro,0.02336661404475375,0.050558744806511756,False
c,Myeloid,KIT,HSPA6+ Macro,0.019264665238003402,-0.21491800585269433,False
c,Myeloid,KIT,SPP1+ Macro,0.0045784673992982,-1.1654038030770775,False
c,Myeloid,KIT,SPP1+ CXCL3+ Macro,0.0121559475530632,-0.6749918296034687,False
c,Myeloid,KIT,SPP1+ MT1+ Macro,0.01174278366395365,-0.701731657899234,False
c,Myeloid,KIT,SPP1+ cycMacro,0.0184135202484313,-0.2700038240373624,False
c,Myeloid,KIT,TNFSF10+ Macro,0.010343128919928099,-0.7923168433791612,False
c,Myeloid,KIT,LAMP3+ cDC,0.0145225668099301,-0.5218250252477926,False
c,Myeloid,KIT,Mast,0.0693828497269719,3.028714080723894,True
d,T_NK cell,TCF7,CD8 Tcm/Tn,0.0990419084561544,0.787184181031283,True
d,T_NK cell,TCF7,CD8 Tem/Trm,0.10173274268628049,1.1058110893211837,False
d,T_NK cell,TCF7,CD8 Tem/Temra,0.101173724037327,1.0396166051726363,False
d,T_NK cell,TCF7,CD8 Trm,0.0831446143401269,-1.09524529665814,False
d,T_NK cell,TCF7,CD8 Tex,0.0926758824136311,0.033370670963386743,False
d,T_NK cell,TCF7,CD8 Cycling Tex,0.08824598832484501,-0.4911816934145111,False
d,T_NK cell,TCF7,ISG15+ CD8 T,0.08755147030923696,-0.5734209207839578,False
d,T_NK cell,TCF7,CD4 Tcm/Tn,0.1067613607680055,1.7012595247588636,False
d,T_NK cell,TCF7,CD4 Tem/Effector,0.1001694096768055,0.9206937908047228,False
d,T_NK cell,TCF7,CD4 Th1,0.08590849054937935,-0.7679693457316304,False
d,T_NK cell,TCF7,CD4 Th17,0.09069271987131786,-0.2014594580795309,False
d,T_NK cell,TCF7,CD4 Tfh,0.0819681345172614,-1.2345545578635475,False
d,T_NK cell,TCF7,CD4 Treg,0.1009310011501185,1.0108753165950715,False
d,T_NK cell,TCF7,CD4 Cycling Treg,0.0886434537774313,-0.4441170370742056,False
d,T_NK cell,TCF7,CD4 CXCL13+ T,0.1116360778411005,2.2784842428030774,False
d,T_NK cell,TCF7,NK,0.08856456133125551,-0.453458844879007,False
d,T_NK cell,TCF7,CD16+ NK,0.08814175695144215,-0.5035239328145976,False
d,T_NK cell,TCF7,CD16- NK,0.08388086868440435,-1.0080639895357246,False
d,T_NK cell,TCF7,γδ T,0.08905388851310389,-0.39551666273007025,False
d,T_NK cell,TCF7,MAIT,0.09086629680820585,-0.18090587579941375,False
d,T_NK cell,TCF7,ILC3,0.07949099207802224,-1.5278778060858997,False
d,T_NK cell,SH2D1A,CD8 Tcm/Tn,0.116488778517337,-1.1443114885836168,False
d,T_NK cell,SH2D1A,CD8 Tem/Trm,0.135689976285668,0.976481469760855,True
d,T_NK cell,SH2D1A,CD8 Tem/Temra,0.139499740265757,1.3972740015295368,False
d,T_NK cell,SH2D1A,CD8 Trm,0.123966138626119,-0.3184290172377104,False
d,T_NK cell,SH2D1A,CD8 Tex,0.137526467022339,1.179323848105633,False
d,T_NK cell,SH2D1A,CD8 Cycling Tex,0.123655135313475,-0.35277966782915665,False
d,T_NK cell,SH2D1A,ISG15+ CD8 T,0.133826575391395,0.7706668355475187,False
d,T_NK cell,SH2D1A,CD4 Tcm/Tn,0.127773337952057,0.10208024571984599,False
d,T_NK cell,SH2D1A,CD4 Tem/Effector,0.127277480391479,0.04731224449910065,False
d,T_NK cell,SH2D1A,CD4 Th1,0.122079261768358,-0.5268365968837428,False
d,T_NK cell,SH2D1A,CD4 Th17,0.123507186748262,-0.3691207460830558,False
d,T_NK cell,SH2D1A,CD4 Tfh,0.108018054909511,-2.079912027482767,False
d,T_NK cell,SH2D1A,CD4 Treg,0.137670910789552,1.195277817648475,False
d,T_NK cell,SH2D1A,CD4 Cycling Treg,0.12119035901092,-0.6250168631032159,False
d,T_NK cell,SH2D1A,CD4 CXCL13+ T,0.136580890746931,1.074883930832847,False
d,T_NK cell,SH2D1A,NK,0.130134144462857,0.36283386559955155,False
d,T_NK cell,SH2D1A,CD16+ NK,0.131300911448772,0.49170453489907534,False
d,T_NK cell,SH2D1A,CD16- NK,0.128900253479607,0.22654927855377235,False
d,T_NK cell,SH2D1A,γδ T,0.126325197999937,-0.057868370517981944,False
d,T_NK cell,SH2D1A,MAIT,0.12845355638724,0.1772111039547153,False
d,T_NK cell,SH2D1A,ILC3,0.103967280695862,-2.52732439892968,False
d,T_NK cell,GZMH,CD8 Tcm/Tn,0.0794458801615583,-1.6038251870436506,False
d,T_NK cell,GZMH,CD8 Tem/Trm,0.0868111452855171,0.23480796233338094,False
d,T_NK cell,GZMH,CD8 Tem/Temra,0.0913270983448837,1.3621510866117268,True
d,T_NK cell,GZMH,CD8 Trm,0.0893278136221773,0.8630582360022645,False
d,T_NK cell,GZMH,CD8 Tex,0.0894134226642374,0.8844293095439449,False
d,T_NK cell,GZMH,CD8 Cycling Tex,0.0870795360692075,0.3018078847496437,False
d,T_NK cell,GZMH,ISG15+ CD8 T,0.0872594514458189,0.34672118657285983,False
d,T_NK cell,GZMH,CD4 Tcm/Tn,0.0835061586524159,-0.5902347047799633,False
d,T_NK cell,GZMH,CD4 Tem/Effector,0.0846906583852073,-0.29454127929089985,False
d,T_NK cell,GZMH,CD4 Th1,0.084197795120826,-0.4175775476057826,False
d,T_NK cell,GZMH,CD4 Th17,0.0860982036446123,0.056832273410149854,False
d,T_NK cell,GZMH,CD4 Tfh,0.0797992880944062,-1.5156019486875416,False
d,T_NK cell,GZMH,CD4 Treg,0.086466000086187,0.1486473972815731,False
d,T_NK cell,GZMH,CD4 Cycling Treg,0.0826942121278364,-0.7929255476061245,False
d,T_NK cell,GZMH,CD4 CXCL13+ T,0.0834095289621,-0.6143569256150173,False
d,T_NK cell,GZMH,NK,0.0878904521200947,0.5042414845494748,False
d,T_NK cell,GZMH,CD16+ NK,0.0900012117029794,1.0311624404336877,False
d,T_NK cell,GZMH,CD16- NK,0.0871049054475107,0.3081409873796667,False
